Feedback,Rating
The hospital staff was very helpful.,positive
I had to wait too long to see the doctor.,negative
The rooms were clean and well-maintained.,positive
The receptionist was rude.,negative
I had a great experience overall.,positive
The nurse was very caring.,positive
The hospital food was awful.,negative
The doctor was very knowledgeable and explained everything.,positive
The facilities were outdated.,negative
I will definitely come back if needed.,positive
bala likes nurse.,positive
bala hates nurse.,negative
bala likes doctor.,positive 
food in the hospital is good.,positive